Arıza Detayı,stemmed_text
Oil level is too low.,oil level low
Implausible signal from oil pressure switch,implaus signal oil pressur switch
Component Oil pressure switch has a short circuit to positive.,compon oil pressur switch short circuit posit
Component Oil pressure switch has a short circuit to ground.,compon oil pressur switch short circuit ground
Oil level has dropped below operating limits.,oil level drop oper limit
Component 'Pressure sensor 'Intake air'' delivers no signal or an implausible signal.,compon pressur sensor intak air deliv signal implaus signal
The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive.,compon pressur sensor intak air electr line short circuit posit
The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to ground.,compon pressur sensor intak air electr line short circuit ground
The signal 'Intake manifold pressure' from the component 'Pressure sensor 'Intake air'' is above the permissible range.,signal intak manifold pressur compon pressur sensor intak air permiss rang
The signal 'Intake manifold pressure' from the component 'Pressure sensor 'Intake air'' is below the permissible range.,signal intak manifold pressur compon pressur sensor intak air permiss rang
The signal from component Turbocharger rpm sensor is implausible or no signal.,signal compon turbocharg rpm sensor implaus signal
The signal 'Rpm' from the component 'Turbocharger rpm sensor' is above the permissible range.,signal rpm compon turbocharg rpm sensor permiss rang
The signal 'Rpm' from the component 'Turbocharger rpm sensor' is above the permissible range.,signal rpm compon turbocharg rpm sensor permiss rang
The signal 'Rpm' from the component 'Turbocharger rpm sensor' is below the permissible range.,signal rpm compon turbocharg rpm sensor permiss rang
The signal 'Boost air temperature' from the component 'Charge air temperature sensor' is above the permissible range.,signal boost air temperatur compon charg air temperatur sensor permiss rang
Fault in detection of charge air temperature at intake manifold of engine.,fault detect charg air temperatur intak manifold engin
The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive.,compon pressur sensor intak air electr line short circuit posit
The component 'Intake air temperature sensor' or its electrical line has a short circuit to ground.,compon intak air temperatur sensor electr line short circuit ground
The signal 'Boost air temperature' from the component 'Intake air temperature sensor' is above the permissible range.,signal boost air temperatur compon intak air temperatur sensor permiss rang
The signal from component Atmospheric pressure sensor is implausible or no signal.,signal compon atmospher pressur sensor implaus signal
The component 'Atmospheric pressure sensor' or its electrical line has a short circuit to positive.,compon atmospher pressur sensor electr line short circuit posit
The component 'Atmospheric pressure sensor' or its electrical line has a short circuit to ground.,compon atmospher pressur sensor electr line short circuit ground
The signal 'Coolant temperature' from the component 'Coolant temperature sensor' is above the permissible range.,signal coolant temperatur compon coolant temperatur sensor permiss rang
The signal from component Coolant temperature sensor is implausible or no signal.,signal compon coolant temperatur sensor implaus signal
The component 'Coolant temperature sensor' or its electrical line has a short circuit to positive.,compon coolant temperatur sensor electr line short circuit posit
The component 'Coolant temperature sensor' or its electrical line has a short circuit to ground.,compon coolant temperatur sensor electr line short circuit ground
The signal 'Coolant temperature' from the component 'Coolant temperature sensor' is above the permissible range.,signal coolant temperatur compon coolant temperatur sensor permiss rang
The signal 'Coolant temperature' from the component 'Coolant temperature sensor' is above the permissible range.,signal coolant temperatur compon coolant temperatur sensor permiss rang
The signal 'Coolant level' from the component '15B01: Coolant container fill level sensor' is below the permissible range.,signal coolant level compon coolant contain fill level sensor permiss rang
The signal from component Coolant level sensor is implausible or no signal.,signal compon coolant level sensor implaus signal
The component 'Coolant level sensor' or its electrical line has a short circuit to positive.,compon coolant level sensor electr line short circuit posit
The component 'Coolant level sensor' or its electrical line has a short circuit to ground.,compon coolant level sensor electr line short circuit ground
The signal 'Coolant level' from the component 'Coolant level sensor' is below the permissible range.,signal coolant level compon coolant level sensor permiss rang
The signal 'Coolant level' from the component 'Coolant level sensor' is below the permissible range.,signal coolant level compon coolant level sensor permiss rang
The signal from component Mass air flow sensor is implausible or no signal.,signal compon mass air flow sensor implaus signal
The signal from component Mass air flow sensor is implausible or no signal.,signal compon mass air flow sensor implaus signal
The signal 'Air mass' from the component 'Mass air flow sensor' is above the permissible range.,signal air mass compon mass air flow sensor permiss rang
The signal from component Mass air flow sensor is implausible or no signal.,signal compon mass air flow sensor implaus signal
Pressure limiting valve has exceeded operating limit.,pressur limit valv exceed oper limit
The component '10B54: Rail pressure sensor' or its electrical line has a short circuit to positive.,compon rail pressur sensor electr line short circuit posit
The component '10B54: Rail pressure sensor' or its electrical line has a short circuit to ground.,compon rail pressur sensor electr line short circuit ground
The signal 'Rail pressure ' from the component '10B54: Rail pressure sensor' is above the permissible range.,signal rail pressur compon rail pressur sensor permiss rang
The signal 'Rail pressure ' from the component '10B54: Rail pressure sensor' is above the permissible range.,signal rail pressur compon rail pressur sensor permiss rang
The signal 'Fuel pressure' from the component 'Fuel pressure sensor' is above the permissible range.,signal fuel pressur compon fuel pressur sensor permiss rang
The component 'Fuel pressure sensor' or its electrical line has a short circuit to positive.,compon fuel pressur sensor electr line short circuit posit
The component 'Fuel pressure sensor' or its electrical line has a short circuit to ground.,compon fuel pressur sensor electr line short circuit ground
The signal 'Fuel pressure' from the component 'Fuel pressure sensor' is above the permissible range.,signal fuel pressur compon fuel pressur sensor permiss rang
The signal 'Fuel pressure' from the component 'Fuel pressure sensor' is below the permissible range.,signal fuel pressur compon fuel pressur sensor permiss rang
Battery voltage is too low.,batteri voltag low
Battery voltage is too low.,batteri voltag low
Battery voltage is too low.,batteri voltag low
