Arıza Detayı,lemmatized_text
'Automatic engine oil replenishment' actuation has Open circuit or Short circuit to positive.,automatic engine oil replenishment actuation open circuit short circuit positive
'Automatic engine oil replenishment' actuation has Short circuit to ground.,automatic engine oil replenishment actuation short circuit ground
'Automatic engine oil replenishment' actuation has Short circuit to positive.,automatic engine oil replenishment actuation short circuit positive
'Automatic engine oil replenishment' actuation has Open circuit.,automatic engine oil replenishment actuation open circuit
Control module has an internal error.,control module internal error
Control module has an internal error.,control module internal error
Control module has an internal error.,control module internal error
Control module has an internal error.,control module internal error
Accelerator pedal unit not learned,accelerator pedal unit learned
Learning error with splitter ratio,learning error splitter ratio
Learning error with terminal W ratio,learning error terminal w ratio
Learning error with clutch travel sensor,learning error clutch travel sensor
Learning error at vehicle CAN bus,learning error vehicle bus
MCM Motor Control Module(Cummins),mcm motor control modulecummins
The component 'Position of exhaust gas recirculation valve' or its electrical line has a short circuit to ground.,component position exhaust gas recirculation valve electrical line short circuit ground
The component 'Throttle valve positioner' or its electrical line has a short circuit to positive.,component throttle valve positioner electrical line short circuit positive
The component 'Throttle valve positioner' or its electrical line has a short circuit to ground.,component throttle valve positioner electrical line short circuit ground
Component Throttle valve positioner is not leaktight.,component throttle valve positioner leaktight
Signal 'Vehicle speed' is implausible.,signal vehicle speed implausible
Manipulation of switching circuit of speed sensor detected.,manipulation switching circuit speed sensor detected
Component '10B58: 2-way analog accelerator pedal' delivers no signal or an implausible signal.,component analog accelerator pedal delivers signal implausible signal
The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to positive.,component analog accelerator pedal electrical line short circuit positive
The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to ground.,component analog accelerator pedal electrical line short circuit ground
CAN communication with component '10B58: 2-way analog accelerator pedal' is faulty.,communication component analog accelerator pedal faulty
The component 'Condensation sensor' or its electrical line has a short circuit to positive.,component condensation sensor electrical line short circuit positive
The component 'Condensation sensor' or its electrical line has a short circuit to ground.,component condensation sensor electrical line short circuit ground
The water content of the fuel filter has reached the upper limit value.,water content fuel filter reached upper limit value
Fuel filter-The water content is too high.,fuel filterthe water content high
Oil level is too low.,oil level low
Implausible signal from oil pressure switch,implausible signal oil pressure switch
Component Oil pressure switch has a short circuit to positive.,component oil pressure switch short circuit positive
Component Oil pressure switch has a short circuit to ground.,component oil pressure switch short circuit ground
Oil level has dropped below operating limits.,oil level dropped operating limit
Component 'Pressure sensor 'Intake air'' delivers no signal or an implausible signal.,component pressure sensor intake air delivers signal implausible signal
The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive.,component pressure sensor intake air electrical line short circuit positive
The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to ground.,component pressure sensor intake air electrical line short circuit ground
The signal 'Intake manifold pressure' from the component 'Pressure sensor 'Intake air'' is above the permissible range.,signal intake manifold pressure component pressure sensor intake air permissible range
The signal 'Intake manifold pressure' from the component 'Pressure sensor 'Intake air'' is below the permissible range.,signal intake manifold pressure component pressure sensor intake air permissible range
The signal from component Turbocharger rpm sensor is implausible or no signal.,signal component turbocharger rpm sensor implausible signal
The signal 'Rpm' from the component 'Turbocharger rpm sensor' is above the permissible range.,signal rpm component turbocharger rpm sensor permissible range
The signal 'Rpm' from the component 'Turbocharger rpm sensor' is above the permissible range.,signal rpm component turbocharger rpm sensor permissible range
The signal 'Rpm' from the component 'Turbocharger rpm sensor' is below the permissible range.,signal rpm component turbocharger rpm sensor permissible range
The signal 'Boost air temperature' from the component 'Charge air temperature sensor' is above the permissible range.,signal boost air temperature component charge air temperature sensor permissible range
Fault in detection of charge air temperature at intake manifold of engine.,fault detection charge air temperature intake manifold engine
The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive.,component pressure sensor intake air electrical line short circuit positive
The component 'Intake air temperature sensor' or its electrical line has a short circuit to ground.,component intake air temperature sensor electrical line short circuit ground
